,NameCorp,Cusip6,Cusip9
422,Genco Shipping & Trading Limited,Y2685T,107
423,General Development Corp.,048556,104
424,"General Growth Properties, Inc.",370023,103
425,General Homes Corp.,370054,207
426,General Maritime Corporation,370290,799
427,General Motors Corporation,37045V,100
428,"Genesis Health Ventures, Inc.",64015Y,104
429,Geneva Steel Company (1999),372257,105
430,Geneva Steel Holdings Corp. (2002),372257,105
431,Genicom Corporation,372282,103
432,"GenTek, Inc.",37245X,203
433,Genuity Inc.,37248E,202
434,Geo Specialty Chemicals Inc.,37246R,932
435,Geokinetics Inc.,372910,307
436,"Geotek Communications, Inc.",373654,102
437,Gilbert Robinson Inc.,375422,102
438,Glenoit Corp.,378762,934
439,Global Aviation Holdings Inc. (2012),37990V,204
440,Global Aviation Holdings Inc. (2013),37990V,204
441,"Global Brokerage, Inc.",37891B,109
442,Global Crossing Ltd.,G3921A,175
443,Global Eagle Entertainment Inc.,37951D,300
444,"Global Geophysical Services, Inc.",37946S,107
445,"Global Geophysical Services, Inc. (2016)",37946S,107
446,Global Marine Inc.,G3930E,101
447,Global Power Equipment Group Inc.,37941P,306
448,"Global TeleSystems, Inc.",37936U,104
449,Globalstar LP,G3930H,104
450,GMX Resources Inc.,38011M,603
451,"GNC Holdings, Inc.",36191G,107
452,"Golden Books Family Entertainment, Inc.",380804,203
453,"Goss Graphic Systems, Inc. (1999)",383411,AA
454,"Goss Holdings, Inc. (2001)",383413,937
455,Gottschalks Inc.,383485,109
456,"Graham-Field Health Products, Inc.",384632,105
457,"Grand Court Lifestyles, Inc.",385379,102
458,Grand Union Company (1995),386534,101
459,Grand Union Company (1998),386532,402
460,Grand Union Company (2000),386532,402
461,Granite Broadcasting Corporation,387241,102
462,Great American Communications Co.,172936,106
463,"Great Atlantic & Pacific Tea Company, Inc.",390064,103
464,"Greyhound Lines, Inc. (1990)",39899X,935
465,"Greyhound Lines, Inc. (1994)",398048,10
466,Grubb & Ellis Company,400095,204
467,"GSI Group, Inc.",36191C,205
468,"GST Telecommunications, Inc.",361942,105
469,GT Advanced Technologies Inc.,36191U,106
470,"GTT Communications, Inc.",362393,100
471,Guaranty Financial Group Inc.,40108N,106
472,"Guilford Mills, Inc.",401794,201
473,"Gulf States Steel, Inc. of Alabama",402548,101
474,Gulf USA Corp.,402571,103
475,"GulfMark Offshore, Inc.",402629,208
476,Gulfport Energy Corporation,402635,304
477,Guy F. Atkinson Company of California,047620,109
478,"GWG Holdings, Inc.",36192A,109
479,Gymboree Corporation (2017),40399H,008
480,Gymboree Corporation (2019),40399H,008
481,Hadson Corp.,40501V,101
482,Halcon Resources Corporation,40537Q,101
483,Halcon Resources Corporation (2019),40537Q,605
484,Ha-Lo Industries,404429,102
485,"Hancock Fabrics, Inc.",409900,107
486,"Harnischfeger Industries, Inc.",481165,108
487,"Harrington West Financial Group, Inc.",41383L,104
488,Hartmarx Corporation,417119,104
489,"Harvard Industries, Inc. (1991)",417434,503
490,"Harvard Industries, Inc. (1997)",417434,503
491,"Harvard Industries, Inc. (2002)",417434,503
492,Hawaiian Airlines Inc.,419879,101
493,"Hawker Beechcraft Acquisition Company, LLC",42099W,939
494,"Hayes Lemmerz International, Inc. (2001)",420781,304
495,"Hayes Lemmerz International, Inc. (2009)",420781,304
496,Healthco International Inc.,422200,105
497,"Heartland Wireless Communications, Inc.",670198,100
498,Hechinger Company,422660,936
499,Hecks Inc.,422686,20
500,"Hedstrom Holdings, Inc.",422914,101
501,Heilig-Meyers Company,422893,107
